Id,SalePrice
1461,137894.125
1462,127106.2109375
1463,194503.75
1464,203201.421875
1465,187259.203125
1466,187176.25
1467,171858.296875
1468,172920.015625
1469,188701.328125
1470,140332.578125
1471,198275.5
1472,103444.9609375
1473,104426.8046875
1474,144289.609375
1475,96844.71875
1476,317285.78125
1477,244926.0625
1478,266677.28125
1479,267474.28125
1480,575114.875
1481,326711.34375
1482,200369.640625
1483,173925.40625
1484,164709.078125
1485,173010.8125
1486,201124.453125
1487,405380.4375
1488,238563.140625
1489,200472.578125
1490,266824.65625
1491,199996.25
1492,115070.2265625
1493,203965.703125
1494,276099.8125
1495,278131.625
1496,233531.640625
1497,193531.171875
1498,164103.296875
1499,158923.65625
1500,167880.890625
1501,194513.265625
1502,152027.5
1503,287517.875
1504,236395.609375
1505,240185.015625
1506,220125.078125
1507,275168.90625
1508,209610.34375
1509,166080.515625
1510,173304.984375
1511,171817.078125
1512,202102.484375
1513,158189.796875
1514,196305.078125
1515,202262.453125
1516,171503.078125
1517,195797.46875
1518,157863.0
1519,237108.640625
1520,152186.40625
1521,153191.125
1522,186071.453125
1523,133295.625
1524,121263.1796875
1525,127117.0703125
1526,117270.265625
1527,126050.3828125
1528,142856.171875
1529,154659.5625
1530,185280.359375
1531,152026.671875
1532,100796.828125
1533,158561.234375
1534,125561.8359375
1535,170566.625
1536,120018.4296875
1537,111688.609375
1538,155422.046875
1539,189133.9375
1540,148862.34375
1541,148561.25
1542,147120.984375
1543,178713.8125
1544,91350.3046875
1545,121229.3984375
1546,129176.71875
1547,137611.359375
1548,128197.7734375
1549,132128.21875
1550,146543.3125
1551,131171.828125
1552,153218.46875
1553,171743.703125
1554,107097.890625
1555,190603.046875
1556,127688.5859375
1557,141378.59375
1558,117258.1015625
1559,121891.71875
1560,151542.375
1561,169803.078125
1562,135885.90625
1563,135422.390625
1564,182944.0625
1565,168704.546875
1566,217342.65625
1567,102295.5703125
1568,259247.984375
1569,180834.09375
1570,137704.078125
1571,122517.96875
1572,160343.15625
1573,222395.96875
